"Year","State","NMFS Name","Pounds","Metric Tons","Dollars","Confidentiality","Collection","Scientific Name","Tsn","Source"
"2020","CALIFORNIA","SABLEFISH","2,818,607","1,279","4,511,105","Public","Commercial","Anoplopoma fimbria","167123","PACFIN"
"2020","CALIFORNIA","SOLE, DOVER","3,566,193","1,618","1,355,686","Public","Commercial","Microstomus pacificus","172887","PACFIN"
"2020","CALIFORNIA","THORNYHEAD, LONGSPINE","205,030","93","68,681","Public","Commercial","Sebastolobus altivelis","166784","PACFIN"
"2020","CALIFORNIA","THORNYHEAD, SHORTSPINE","359,133","163","1,352,133","Public","Commercial","Sebastolobus alascanus","166783","PACFIN"
"2020","OREGON","SABLEFISH","4,158,795","1,886","4,710,522","Public","Commercial","Anoplopoma fimbria","167123","PACFIN"
"2020","OREGON","SOLE, DOVER","6,686,612","3,033","2,515,651","Public","Commercial","Microstomus pacificus","172887","PACFIN"
"2020","OREGON","THORNYHEAD, LONGSPINE","36,376","17","8,370","Public","Commercial","Sebastolobus altivelis","166784","PACFIN"
"2020","OREGON","THORNYHEAD, SHORTSPINE","542,777","246","180,467","Public","Commercial","Sebastolobus alascanus","166783","PACFIN"
"2020","WASHINGTON","SABLEFISH","1,710,565","776","2,303,925","Public","Commercial","Anoplopoma fimbria","167123","PACFIN"
"2020","WASHINGTON","SOLE, DOVER","90,610","41","38,314","Public","Commercial","Microstomus pacificus","172887","PACFIN"
"2020","WASHINGTON","THORNYHEAD, LONGSPINE","661","0","1","Public","Commercial","Sebastolobus altivelis","166784","PACFIN"
"2020","WASHINGTON","THORNYHEAD, SHORTSPINE","27,558","13","15,322","Public","Commercial","Sebastolobus alascanus","166783","PACFIN"
"2020","WASHINGTON","THORNYHEAD, SHORTSPINE","","","","Confidential","Commercial","Sebastolobus alascanus","166783","PACFIN"
"2019","CALIFORNIA","SABLEFISH","3,183,030","1,444","6,341,872","Public","Commercial","Anoplopoma fimbria","167123","PACFIN"
"2019","CALIFORNIA","SOLE, DOVER","3,074,343","1,395","1,425,891","Public","Commercial","Microstomus pacificus","172887","PACFIN"
"2019","CALIFORNIA","THORNYHEAD, LONGSPINE","371,699","169","201,512","Public","Commercial","Sebastolobus altivelis","166784","PACFIN"
"2019","CALIFORNIA","THORNYHEAD, SHORTSPINE","533,739","242","2,133,294","Public","Commercial","Sebastolobus alascanus","166783","PACFIN"
"2019","OREGON","SABLEFISH","5,837,393","2,648","9,421,741","Public","Commercial","Anoplopoma fimbria","167123","PACFIN"
"2019","OREGON","SOLE, DOVER","8,965,969","4,067","3,662,569","Public","Commercial","Microstomus pacificus","172887","PACFIN"
"2019","OREGON","THORNYHEAD, LONGSPINE","190,259","86","50,758","Public","Commercial","Sebastolobus altivelis","166784","PACFIN"
"2019","OREGON","THORNYHEAD, SHORTSPINE","865,975","393","388,623","Public","Commercial","Sebastolobus alascanus","166783","PACFIN"
